trial_index,task_id,condition,model,temperature,started_at,unit,true_answer,estimate,lower80,upper80,confidence_within_25pct,confidence_within_2x,difficulty,within_25pct,within_2x,interval80_contains_true,log10_error,abs_log10_error
23,clinic_gloves,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:30.955030+00:00,pairs/year,387600.0,3876000.0,3488400.0,4263600.0,85,98,2,False,False,False,1.0,1.0
24,bakery_flour,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:32.796551+00:00,kg/year,506230.0,505790.0,480000.0,530000.0,95,99,2,True,True,True,-0.0003776399361235804,0.0003776399361235804
25,airport_bags,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:33.586637+00:00,bags/year,5219500.0,5262400.0,4800000.0,5800000.0,65,95,3,True,True,True,0.0035549542170429872,0.0035549542170429872
26,stadium_trash,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:34.421251+00:00,kg/year,1140480.0,1140480.0,950000.0,1350000.0,65,95,2,True,True,True,0.0,0.0
27,delivery_miles,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:35.379207+00:00,miles/year,12520800.0,12513600.0,11500000.0,13500000.0,95,99,2,True,True,True,-0.0002498098900648081,0.0002498098900648081
28,stadium_trash,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:36.388341+00:00,kg/year,1140480.0,11404800.0,9123840.0,13685760.0,65,95,2,False,False,False,1.0,1.0
29,library_pages,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:37.396569+00:00,pages/year,2714400.0,2724800.0,2450000.0,3000000.0,70,95,3,True,True,True,0.001660783981464508,0.001660783981464508
30,warehouse_boxes,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:38.188508+00:00,boxes/year,1242000.0,1242000.0,1150000.0,1330000.0,85,99,2,True,True,True,0.0,0.0
31,coffee_cups,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:38.989091+00:00,cups/year,7660800.0,76876800.0,69000000.0,85000000.0,85,98,2,False,False,False,1.0015211731205327,1.0015211731205327
32,bus_fuel,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:40.001146+00:00,gallons/year,610418.1818181818,610473.0,550000.0,680000.0,65,95,3,True,True,True,3.899976384820218e-05,3.899976384820218e-05
33,bike_share_charges,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:41.276764+00:00,kWh/year,1231656.0,1295256.0,1036205.0,1554307.0,65,95,3,True,True,True,0.021866185889443227,0.021866185889443227
34,grocery_receipts,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:42.211021+00:00,km/year,218.4525,21845.0,18500.0,26000.0,60,95,3,False,False,False,1.999995029846683,1.999995029846683
35,city_elevators,direct,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:43.370352+00:00,trips/year,18071040.0,17879040.0,16000000.0,20000000.0,60,95,3,True,True,True,-0.004638951198170408,0.004638951198170408
36,bike_share_charges,reflective,google/gemini-3.1-flash-lite-preview,0.7,2026-05-02T16:39:44.465829+00:00,kWh/year,1231656.0,1297536.0,1038029.0,1557043.0,40,85,3,True,True,True,0.022629989290541195,0.022629989290541195
